job title,compaany name,local job,jobs experience,link,date offer
Python Developer,Elarkan for construction,"Smouha, Alexandria, Egypt ",Part TimeFreelance / ProjectWork From HomeExperienced · 8 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · HTML5 · JavaScript · Software Development · Python · Engineering,https://wuzzuf.net/jobs/p/z086le0bsWaG-Python-Developer-Elarkan-for-construction-Alexandria-Egypt,9 days
Python Developer,Fekra Technology Solutions and Construction,"Dokki, Giza, Egypt ",Full TimeWork From HomeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Development · Information Technology (IT) · Python · Remote · Software Development,https://wuzzuf.net/jobs/p/2bLeG0KBDf91-Python-Developer-Fekra-Technology-Solutions-and-Construction-Giza-Egypt,12 days
Python Developer,Afaqy,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Computer Science · Software Development · Python,https://wuzzuf.net/jobs/p/mzasDWYz0tei-Python-Developer-Afaqy-Cairo-Egypt,15 days
Python Developer,OdooTec,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Odoo · Django · CSS · Software Development · Information Technology (IT) · Python · Programming,https://wuzzuf.net/jobs/p/3YfHwo4GX00I-Python-Developer-OdooTec-Cairo-Egypt,24 days
Python Developer/Java Developer,Confidential,"Cairo, Egypt ",Full TimePart TimeWork From HomeExperienced · 3 - 9 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java · Python · Programming · Software Development · Web,https://wuzzuf.net/jobs/p/Aql1HMu9SNov-Python-DeveloperJava-Developer-Cairo-Egypt,1 month
Senior Python Developer,NFQ Technologies,"Cairo, Egypt ",Full TimeNot specified · Business Development · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · javaScript · Software Engineering · CSS · HTML,https://wuzzuf.net/jobs/p/EGQuAKhlQUE3-Senior-Python-Developer-NFQ-Technologies-Cairo-Egypt,1 month
Python Developer,RTX for Shipping,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 1 - 7 Yrs of Exp · IT/Software Development · Computer Science · Django · Flask · Python · JavaScript · computer,https://wuzzuf.net/jobs/p/I8QxFXZjctLP-Python-Developer-RTX-for-Shipping-Cairo-Egypt,1 month
Python | Odoo Developer,Confidential,"Cairo, Egypt ",Full TimeManager · 2+ Yrs of Exp · IT/Software Development · Odoo · Python · Developer,https://wuzzuf.net/jobs/p/AKMMHaDZYATk-Python-Odoo-Developer-Cairo-Egypt,1 month
Sennior Python Django Backend Developer,Your Parts,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · RESTful · FastAPI · Information Technology (IT) · Computer Science · javaScript · HTML5,https://wuzzuf.net/jobs/p/4KzRQ9NN9feX-Sennior-Python-Django-Backend-Developer-Your-Parts-Cairo-Egypt,2 months
Junior Backend Software Developer (RESTful APIs & Django),Estafsar,"Sheikh Zayed, Giza, Egypt ",Full TimeHybridEntry Level · 0 - 1 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · API · Python · Software Engineering,https://wuzzuf.net/jobs/p/oC0JUNxTVoDP-Junior-Backend-Software-Developer-RESTful-APIs-Django-Estafsar-Giza-Egypt,2 days
Backend Developer,GCV,"6th of October, Giza, Egypt ",Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · IT/Software Development · back-end · Engineering · Computer Science · Java · MySQL · Information Technology (IT) · Git · Programming · Software,https://wuzzuf.net/jobs/p/1Av1qiL7dFI9-Backend-Developer-GCV-Giza-Egypt,2 days
Data Scientist,Foreground Consultancy,"Riyadh, Saudi Arabia ",Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Data Scientist · Machine Learning,https://wuzzuf.net/jobs/p/FemTjU4mIbV7-Data-Scientist-Foreground-Consultancy-Riyadh-Saudi-Arabia,3 days
Site Reliability Engineer_VOIS,_VOIS,"Cairo, Egypt ",Full TimeNot specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · engineering · computer science · information technology (it) · aws · computer engineering · python · linux,https://wuzzuf.net/jobs/p/g/OX1zRKO0MHVp-Site-Reliability-EngineerVOIS-VOIS-Cairo-Egypt,2 hours
Junior DevOps SW Engineer _VOIS,_VOIS,"Cairo, Egypt ",Full TimeEntry Level · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · computer science · information technology (it) · computer engineering · devops · python · software engineering · aws,https://wuzzuf.net/jobs/p/8QnUChHmKdlR-Junior-DevOps-SW-Engineer-VOIS-VOIS-Cairo-Egypt,1 day
"Analyst, Data",ROSHN l روشن,"Riyadh, Saudi Arabia ",Full TimeEntry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel,https://wuzzuf.net/jobs/p/g/eqba0vAUvLoR-Analyst-Data-ROSHN-l-روشن-Riyadh-Saudi-Arabia,4 hours
Data Analyst (0 Experience Required),Peroptyx,"Riyadh, Saudi Arabia ",Freelance / ProjectEntry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel,https://wuzzuf.net/jobs/p/g/1y4EqimsYxtc-Data-Analyst-0-Experience-Required-Peroptyx-Riyadh-Saudi-Arabia,6 hours
